OrderID,CustomerID,OrderDate,RequiredDeliveryDate,OrderStatus,SalesChannel,WarehouseID,ShippingMethod,Priority
O100000,C00524,2025-12-08,2025-12-16,Completed,Direct,W012,Standard,Normal
O100001,C00786,2025-01-16,2025-01-23,Partially Fulfilled,Retail,W009,Standard,High
O100002,C00434,2024-09-23,2024-10-01,Completed,Distributor,W001,Standard,Low
O100003,C00310,2023-06-05,2023-06-05,Completed,Online,W002,Same Day,Normal
O100004,C01291,2025-10-01,2025-10-02,Completed,Online,W009,Same Day,Low
O100005,C00832,2024-02-23,2024-03-02,Completed,Online,W008,Standard,High
O100006,C01480,2025-06-11,2025-06-15,Completed,Distributor,W009,Express,Critical
O100007,C00013,2025-10-07,2025-10-16,Completed,Retail,W012,Standard,Normal
O100008,C00579,2023-09-06,2023-09-14,Partially Fulfilled,Online,W010,Standard,High
O100009,C00434,2025-12-07,2025-12-12,Partially Fulfilled,Distributor,W004,Express,High
O100010,C00942,2025-10-10,2025-10-13,Completed,Retail,W010,Express,Normal
O100011,C00714,2024-10-29,2024-11-02,Completed,Direct,W010,Express,Low
O100012,C01486,2025-04-12,2025-04-20,Completed,Online,W002,Standard,Normal
O100013,C00079,2023-12-31,2024-01-02,Completed,Direct,W009,Express,Low
O100014,C01172,2025-04-09,2025-04-11,Cancelled,Distributor,W006,Express,Low
O100015,C01181,2024-06-17,2024-06-25,Completed,Online,W007,Standard,Low
O100016,C01134,2024-01-06,2024-01-06,Completed,Direct,W012,Same Day,Normal
O100017,C01089,2025-03-30,2025-04-08,Completed,Direct,W013,Standard,Normal
O100018,C00595,2024-04-16,2024-04-21,Completed,Online,W001,Standard,High
O100019,C00115,2025-03-09,2025-03-09,Completed,Retail,W006,Same Day,Normal
O100020,C00079,2025-08-22,2025-08-23,Completed,Distributor,W008,Same Day,Low
O100021,C00043,2023-11-15,2023-11-15,Partially Fulfilled,Online,W004,Same Day,High
O100022,C00969,2023-10-12,2023-10-20,Completed,Distributor,W011,Standard,Normal
O100023,C01353,2024-01-12,2024-01-23,Completed,Direct,W005,Freight,Critical
O100024,C00115,2024-05-21,2024-05-26,Completed,Online,W010,Express,Low
O100025,C00398,2025-04-23,2025-05-03,Completed,Retail,W005,Freight,Low
O100026,C00714,2024-06-26,2024-06-27,Completed,Direct,W014,Same Day,Normal
O100027,C00120,2025-03-18,2025-03-25,Partially Fulfilled,Retail,W006,Standard,Low
O100028,C00910,2025-12-23,2025-12-28,Pending,Distributor,W011,Express,Low
O100029,C00729,2023-10-09,2023-10-10,Completed,Direct,W009,Same Day,Low
O100030,C01454,2025-05-27,2025-06-01,Completed,Direct,W003,Express,Low
O100031,C01181,2024-07-30,2024-08-13,Completed,Retail,W012,Freight,Normal
O100032,C00581,2024-05-31,2024-06-07,Completed,Distributor,W008,Standard,Normal
O100033,C00115,2024-11-25,2024-12-05,Partially Fulfilled,Retail,W002,Standard,High
O100034,C01423,2023-06-17,2023-06-22,Completed,Retail,W011,Express,Critical
O100035,C00619,2024-01-30,2024-01-30,Completed,Distributor,W003,Same Day,Normal
O100036,C00862,2023-12-03,2023-12-12,Completed,Direct,W011,Standard,Normal
O100037,C00219,2024-12-20,2024-12-21,Completed,Online,W014,Same Day,Critical
O100038,C00823,2023-10-28,2023-11-07,Cancelled,Direct,W008,Standard,Normal
O100039,C00058,2023-03-27,2023-03-31,Pending,Online,W009,Express,Critical
O100040,C01004,2023-03-13,2023-03-19,Completed,Direct,W002,Standard,Normal
O100041,C01014,2025-06-29,2025-07-01,Completed,Distributor,W003,Express,Low
O100042,C01486,2025-02-02,2025-02-10,Completed,Online,W005,Standard,Critical
O100043,C00475,2025-08-26,2025-09-01,Completed,Distributor,W013,Standard,Normal
O100044,C00079,2025-02-25,2025-03-05,Completed,Online,W009,Standard,Low
O100045,C01426,2023-03-28,2023-04-02,Completed,Online,W008,Standard,Low
O100046,C00827,2025-03-03,2025-03-11,Partially Fulfilled,Distributor,W009,Standard,Low
O100047,C00079,2024-10-24,2024-10-31,Cancelled,Online,W008,Standard,High
O100048,C00584,2025-12-21,2025-12-25,Completed,Online,W009,Express,Normal
O100049,C00791,2023-10-02,2023-10-08,Completed,Online,W005,Standard,High
O100050,C00209,2023-04-12,2023-04-18,Completed,Online,W005,Standard,Normal
O100051,C00434,2025-08-11,2025-08-14,Completed,Online,W007,Express,Normal
O100052,C00138,2024-05-02,2024-05-05,Completed,Distributor,W008,Express,Normal
O100053,C01437,2024-07-02,2024-07-05,Completed,Online,W005,Express,Normal
O100054,C00674,2025-04-21,2025-05-09,Completed,Direct,W006,Freight,Low
O100055,C00942,2023-09-04,2023-09-16,Completed,Online,W010,Freight,Normal
