ProductID,ProductName,Category,SubCategory,Brand,UnitCost,UnitPrice,WeightKg,SupplierLeadTimeDays,ReorderLevel,DiscontinuedFlag
P0001,Northgate Hair Dryer,Health & Personal Care,Personal Care,Northgate,20.86,35.8,2.72,19,158,False
P0002,BrightPath Copy Paper Ream,Office Supplies,Paper Products,BrightPath,20.98,53.32,4.91,52,425,False
P0003,Urban Forge Body Wash Set,Health & Personal Care,Personal Care,Urban Forge,18.71,41.29,,42,265,False
P0004,Vantage Pro Backup Camera,Automotive Parts,Electronics,Vantage Pro,124.89,163.38,4.17,41,354,False
P0005,Clearwater Bike Repair Kit,Sports & Outdoors,Cycling,Clearwater,170.12,353.35,0.65,9,96,False
P0006,Kessler & Vane Puzzle Set,Toys & Games,Educational Toys,Kessler & Vane,38.32,53.42,3.93,25,84,False
P0007,Urban Forge Mechanical Pencil,Office Supplies,Writing Instruments,Urban Forge,54.24,108.1,5.31,41,95,False
P0008,TrueForm Standing Desk,Furniture,Office Furniture,TrueForm,481.38,758.01,2.06,8,133,False
P0009,Clearwater Umbrella Stand,Furniture,Outdoor Furniture,Clearwater,305.65,452.43,6.53,54,189,False
P0010,Clearwater Sidewalk Chalk Set,Toys & Games,Outdoor Toys,Clearwater,7.19,10.05,1.81,10,184,False
P0011,Nordholt Memory Foam Pillow,Home & Kitchen,Bedding,Nordholt,127.57,310.38,1.3,5,386,False
P0012,Northgate Duvet Cover,Home & Kitchen,Bedding,Northgate,85.67,108.12,2.15,50,221,False
P0013,Everline Die-Cast Car,Toys & Games,Action Figures,Everline,42.31,81.91,5.41,57,120,False
P0014,Steelbridge Patio Chair Set,Furniture,Outdoor Furniture,Steelbridge,523.5,701.0,3.1,38,193,False
P0015,Northgate Shaving Kit,Health & Personal Care,Personal Care,Northgate,54.22,111.12,2.59,10,46,False
P0016,Everline Mechanical Keyboard,Electronics,Computer Accessories,Everline,39.63,85.29,3.12,45,223,False
P0017,Urban Forge Duvet Cover,Home & Kitchen,Bedding,Urban Forge,89.34,205.01,5.26,11,170,False
P0018,Steelbridge Memory Foam Pillow,Home & Kitchen,Bedding,Steelbridge,109.47,191.74,2.11,33,389,False
P0019,Craftmore Gel Pen Set,Office Supplies,Writing Instruments,Craftmore,41.1,92.83,1.39,44,286,False
P0020,Vantage Pro Noise-Cancelling Headphones,Electronics,Audio,Vantage Pro,170.21,382.77,2.48,28,430,False
P0021,TrueForm Sleep Tracker,Electronics,Wearables,TrueForm,63.56,121.55,2.43,29,295,False
P0022,Sunmark File Folder Box,Office Supplies,Filing & Storage,Sunmark,4.93,7.69,6.84,30,46,False
P0023,Kessler & Vane Work Gloves,Industrial Supplies,Safety Equipment,Kessler & Vane,23.28,33.4,1.18,20,127,False
P0024,TrueForm Network Switch,Electronics,Networking,TrueForm,56.77,75.75,6.52,57,270,False
P0025,Halvorsen Cotton Sheet Set,Home & Kitchen,Bedding,Halvorsen,74.22,100.5,7.93,37,188,False
P0026,Halvorsen Standing Desk,Furniture,Office Furniture,Halvorsen,239.13,351.71,4.15,50,270,False
P0027,Halvorsen Bluetooth Car Adapter,Automotive Parts,Electronics,Halvorsen,164.06,423.8,3.04,39,101,False
P0028,Northgate Die-Cast Car,Toys & Games,Action Figures,Northgate,19.01,34.12,0.71,4,233,False
P0029,Nordholt Stainless Steel Pot Set,Home & Kitchen,Cookware,Nordholt,99.4,157.49,3.3,4,447,False
P0030,Kessler & Vane Hair Dryer,Health & Personal Care,Personal Care,Kessler & Vane,7.36,17.45,8.67,42,465,False
