ShipmentID,OrderID,ShipmentDate,ExpectedDeliveryDate,ActualDeliveryDate,ShipmentStatus,Carrier,ShippingCost,DistanceKm,DeliveryDelayDays
SH000001,O100000,2025-12-10,2025-12-15,2025-12-16,Delivered,Overland Transit Co.,857.27,788.6,1.0
SH000002,O100001,2025-01-18,2025-01-22,2025-01-21,Delivered,TransCon Logistics,65.85,878.3,-1.0
SH000003,O100001,2025-01-16,2025-01-21,2025-01-25,Delivered,Continental Cargo,58.78,791.9,4.0
SH000004,O100001,2025-01-18,2025-01-23,2025-01-27,Delayed,TransCon Logistics,60.74,813.4,4.0
SH000005,O100002,2024-09-25,2024-10-01,2024-10-07,Delivered,SwiftHaul Freight,333.88,3914.2,6.0
SH000006,O100003,2023-06-05,2023-06-05,2023-06-08,Delivered,BlueDart Global,611.64,306.0,3.0
SH000007,O100004,2025-10-03,2025-10-03,2025-10-05,Delivered,Continental Cargo,2565.68,1221.0,2.0
SH000008,O100005,2024-02-25,2024-03-03,2024-03-07,Delayed,Overland Transit Co.,247.91,1183.4,4.0
SH000009,O100006,2025-06-15,2025-06-18,2025-06-18,Delivered,TransCon Logistics,737.1,2446.3,0.0
SH000010,O100007,2025-10-07,2025-10-13,2025-10-11,Delivered,Meridian Line Carriers,50.3,890.9,-2.0
SH000011,O100008,2023-09-06,2023-09-12,2023-09-10,Delivered,TransCon Logistics,102.7,1492.9,-2.0
SH000012,O100008,2023-09-08,2023-09-13,2023-09-16,Delivered,BlueDart Global,96.03,1825.9,3.0
SH000013,O100009,2025-12-07,2025-12-09,2025-12-13,Delivered,Pacific Rim Shipping,139.54,821.8,4.0
SH000014,O100009,2025-12-09,2025-12-11,2025-12-14,Delivered,Overland Transit Co.,103.28,574.9,3.0
SH000015,O100010,2025-10-14,2025-10-17,2025-10-20,Delivered,Continental Cargo,105.59,288.4,3.0
SH000016,O100011,2024-10-29,2024-11-01,2024-11-05,Delayed,BlueDart Global,730.54,1949.2,4.0
SH000017,O100012,2025-04-12,2025-04-18,2025-04-20,Delivered,Pacific Rim Shipping,99.68,844.3,2.0
SH000018,O100013,2024-01-02,2024-01-05,2024-01-05,Delivered,Overland Transit Co.,491.32,116.9,0.0
SH000019,O100015,2024-06-17,2024-06-22,2024-06-25,Delivered,BlueDart Global,161.66,2904.8,3.0
SH000020,O100016,2024-01-08,2024-01-09,2024-01-10,Delivered,Meridian Line Carriers,643.83,2690.9,1.0
SH000021,O100017,2025-04-01,2025-04-07,2025-04-08,Delivered,Overland Transit Co.,234.11,4959.0,1.0
SH000022,O100017,2025-04-03,2025-04-10,2025-04-15,Delivered,SwiftHaul Freight,147.45,3661.4,5.0
