SupplierID,ProductID,SupplierUnitCost,LeadTimeDays,MinimumOrderQuantity,PreferredSupplierFlag
S031,P0001,17.27,17,50,True
S006,P0001,18.98,19,25,False
S015,P0002,25.22,49,25,True
S030,P0002,19.54,43,10,False
S008,P0003,21.62,30,50,False
S026,P0003,22.42,38,250,True
S018,P0004,108.33,33,10,True
S036,P0004,119.49,27,50,False
S020,P0004,104.94,30,50,False
S037,P0004,108.36,27,50,False
S044,P0005,167.71,4,50,True
S015,P0005,144.54,7,10,False
S023,P0006,35.85,13,25,False
S045,P0006,37.93,18,25,True
S021,P0007,54.35,29,100,True
S022,P0008,456.72,5,10,True
S034,P0008,470.99,6,50,False
S039,P0008,563.95,8,50,False
S005,P0009,311.83,57,250,True
S004,P0010,8.28,8,50,False
S027,P0010,7.05,6,50,True
S018,P0011,146.73,3,50,False
S040,P0011,140.27,3,25,True
S019,P0011,151.91,3,100,False
S028,P0012,104.29,45,25,True
S025,P0012,95.17,40,25,False
S033,P0013,39.19,51,25,False
S001,P0013,38.39,61,250,False
S011,P0013,43.09,41,25,False
S020,P0013,42.37,48,250,True
S017,P0014,588.17,26,500,False
S001,P0014,556.38,33,100,False
S034,P0014,587.04,31,50,True
S013,P0015,56.13,10,500,False
S014,P0015,58.6,7,10,False
S025,P0015,46.62,5,10,True
S044,P0015,62.85,5,25,False
S017,P0016,33.14,24,500,False
S039,P0016,42.17,51,25,True
S015,P0017,95.45,9,25,True
S007,P0017,76.52,9,50,False
S024,P0017,92.49,10,100,False
S013,P0018,132.4,34,25,False
S014,P0018,100.35,31,25,True
S023,P0019,36.58,31,25,True
S034,P0019,35.04,45,25,False
S025,P0019,35.6,25,10,False
S009,P0020,185.19,18,100,False
S027,P0020,168.17,12,50,True
S005,P0021,55.72,20,25,True
S026,P0022,5.2,31,500,True
S011,P0022,5.08,18,10,False
S009,P0023,23.69,16,10,False
S035,P0023,27.04,16,50,False
S021,P0023,25.44,14,50,True
S015,P0024,61.43,56,50,True
S009,P0024,49.43,45,50,False
S025,P0025,74.81,19,100,True
S032,P0026,207.48,29,100,False
S029,P0026,237.7,51,10,True
S039,P0027,142.16,35,25,True
S029,P0028,20.76,2,25,True
S020,P0028,19.66,4,250,False
S002,P0029,95.35,2,25,False
S031,P0029,83.76,2,50,True
S021,P0030,7.53,24,250,True
S036,P0030,7.24,26,50,False
S041,P0031,191.91,4,25,True
S014,P0031,206.54,4,10,False
S024,P0032,131.64,39,500,True
S034,P0033,353.19,8,100,True
S041,P0034,94.13,39,25,True
S031,P0035,50.39,25,25,True
S039,P0036,62.45,40,250,False
S042,P0036,60.71,23,10,True
S045,P0037,106.03,16,25,True
S025,P0038,371.62,5,25,False
S042,P0038,380.04,12,250,True
S027,P0039,77.99,18,100,False
S018,P0039,79.06,11,500,True
S040,P0039,72.53,11,50,False
S037,P0040,189.42,26,250,False
S018,P0040,186.4,26,50,True
S028,P0041,129.85,39,100,False
S043,P0041,119.84,35,50,True
S030,P0041,118.49,29,50,False
S042,P0041,116.13,29,10,False
S039,P0042,94.25,29,25,False
S028,P0042,65.07,18,25,True
S044,P0043,111.63,2,50,True
S004,P0043,105.06,4,50,False
S023,P0044,27.82,20,250,False
S027,P0044,26.75,14,250,False
S019,P0044,28.41,15,250,True
S009,P0045,178.09,23,50,False
S023,P0045,170.57,21,50,True
S045,P0045,139.64,20,10,False
S018,P0046,29.91,3,25,False
S034,P0046,27.86,4,50,False
S013,P0046,38.09,5,50,True
S041,P0047,39.62,38,25,True
S032,P0048,47.19,9,25,False
S045,P0048,59.07,4,500,False
S004,P0048,57.96,6,100,False
S031,P0048,59.2,8,25,True
S041,P0049,49.51,29,50,True
S019,P0050,109.96,53,100,True
S045,P0050,85.4,33,10,False
S035,P0051,33.5,22,25,True
S016,P0051,36.08,21,50,False
S022,P0052,196.64,8,50,True
S010,P0053,130.08,17,25,True
S013,P0053,96.48,13,100,False
S036,P0054,232.03,21,50,False
S026,P0054,271.71,21,50,True
S042,P0055,185.86,6,10,True
S042,P0056,16.81,20,25,False
S023,P0056,18.28,13,50,False
S033,P0056,16.49,27,100,True
S002,P0057,21.99,30,100,False
S003,P0057,26.91,47,100,True
S012,P0058,71.39,16,25,True
S013,P0058,65.16,24,100,False
S011,P0058,59.35,22,10,False
S013,P0059,252.4,14,50,True
S008,P0060,7.35,26,100,True
S012,P0061,71.99,17,50,True
S020,P0062,54.89,16,100,True
S009,P0063,20.67,16,25,True
S016,P0064,131.05,27,500,True
S034,P0064,149.27,19,10,False
S016,P0065,355.56,30,250,True
S013,P0066,60.16,25,10,False
S017,P0066,62.87,29,25,True
S002,P0067,77.46,19,100,True
S002,P0068,40.16,20,25,True
S044,P0068,40.18,17,25,False
S014,P0069,113.07,24,100,True
S015,P0069,128.78,21,100,False
S031,P0069,112.97,21,50,False
S022,P0070,180.94,34,25,True
S034,P0071,293.22,27,500,False
S022,P0071,203.83,29,25,False
S005,P0071,250.09,28,50,True
S031,P0072,31.5,19,10,True
S040,P0073,71.89,30,250,False
S034,P0073,84.35,53,100,True
S044,P0073,91.67,27,10,False
S021,P0074,29.03,4,25,False
S008,P0074,25.61,5,100,True
S044,P0074,24.72,4,50,False
S028,P0074,26.34,4,50,False
S034,P0075,101.95,8,100,False
S038,P0075,105.28,9,25,True
S037,P0076,27.61,39,50,False
S030,P0076,33.96,44,50,True
S021,P0077,85.23,6,50,True
S040,P0078,342.48,16,100,True
S005,P0079,106.43,15,500,False
S042,P0079,102.04,17,25,True
S006,P0080,249.42,21,100,False
S012,P0080,313.01,12,50,False
S016,P0080,280.82,12,50,True
S018,P0080,323.14,20,500,False
S038,P0081,213.23,20,10,False
S024,P0081,211.47,19,50,True
S029,P0082,87.59,19,100,True
S042,P0082,77.62,33,25,False
S018,P0083,31.58,26,50,False
S023,P0083,43.12,24,250,True
S034,P0083,36.12,38,10,False
S033,P0084,457.35,28,10,False
S044,P0084,386.29,16,100,True
S030,P0085,39.13,33,25,False
S045,P0085,48.22,27,500,False
S008,P0085,41.71,26,500,True
S029,P0086,141.32,24,25,False
S033,P0086,127.69,20,25,True
S030,P0086,145.39,34,50,False
S008,P0087,435.84,28,10,True
S005,P0088,19.12,10,25,False
S036,P0088,20.84,6,50,False
S038,P0088,19.1,9,500,True
S004,P0089,104.64,23,250,False
S034,P0089,88.0,29,100,True
S012,P0090,22.98,6,25,True
S014,P0091,25.21,4,500,True
S021,P0092,14.77,48,500,False
S020,P0092,10.26,53,25,False
S014,P0092,12.76,47,250,True
S006,P0093,59.47,12,25,False
S037,P0093,50.64,9,50,True
S032,P0094,100.17,13,25,True
S023,P0095,244.57,12,250,False
S042,P0095,286.2,12,250,False
S008,P0095,246.17,10,250,True
S042,P0096,479.29,27,10,True
S010,P0096,445.36,40,100,False
S041,P0096,467.99,42,50,False
S043,P0097,14.84,32,25,True
S028,P0098,143.77,30,25,True
S037,P0099,182.83,25,500,False
S021,P0099,222.45,15,50,True
S018,P0100,13.03,27,25,True
S029,P0101,119.62,16,25,False
S008,P0101,94.07,18,100,False
S018,P0101,130.84,14,250,True
S012,P0102,148.27,12,50,False
S026,P0102,130.35,14,500,False
S030,P0102,105.05,13,500,True
S030,P0103,146.91,10,25,True
S029,P0104,118.66,6,250,False
S013,P0104,160.77,6,25,True
S039,P0105,24.46,11,25,False
S006,P0105,22.6,10,500,True
S038,P0106,66.82,24,25,False
S031,P0106,64.27,22,250,False
S014,P0106,70.15,21,10,True
S036,P0106,67.46,17,50,False
S041,P0107,200.37,3,25,True
S004,P0108,17.76,32,10,True
S025,P0108,16.76,31,50,False
S028,P0108,15.67,33,50,False
S021,P0109,89.23,23,50,False
S010,P0109,72.19,47,250,True
S037,P0109,74.7,34,50,False
S045,P0110,51.28,25,25,True
S019,P0111,12.57,28,100,False
S001,P0111,13.57,22,250,True
S006,P0112,55.41,9,10,True
S027,P0112,69.06,6,50,False
S031,P0112,72.9,4,50,False
S007,P0113,43.36,55,10,True
S011,P0114,18.95,22,25,False
S005,P0114,21.27,24,10,True
S043,P0114,16.09,29,50,False
S016,P0115,134.07,13,250,True
S038,P0116,91.46,35,50,True
S039,P0116,101.02,23,250,False
S035,P0117,167.77,8,50,True
S019,P0117,118.84,8,50,False
S013,P0117,151.59,9,50,False
S023,P0118,215.84,11,250,False
S034,P0118,173.66,13,100,False
S035,P0118,249.14,9,50,True
S019,P0119,106.28,8,10,False
S011,P0119,96.15,14,500,True
S002,P0120,32.34,16,50,True
S022,P0121,24.5,25,100,True
S003,P0121,18.86,34,100,False
S032,P0122,61.14,7,250,False
S002,P0122,73.3,5,50,False
S024,P0122,75.52,8,100,True
S032,P0123,25.02,44,25,False
S026,P0123,21.28,48,500,True
S008,P0124,230.22,26,10,False
S022,P0124,233.46,22,50,False
S038,P0124,230.69,27,50,True
S028,P0125,13.43,26,25,False
S031,P0125,14.09,18,25,True
S031,P0126,51.42,16,50,True
S035,P0127,41.66,36,100,False
S038,P0127,34.89,49,10,False
S007,P0127,36.97,32,250,True
S039,P0128,81.48,48,10,False
S031,P0128,78.17,39,250,False
S035,P0128,72.98,32,50,True
S021,P0129,59.7,25,50,False
S018,P0129,54.27,24,25,True
S036,P0130,233.61,20,25,True
S011,P0130,180.69,26,25,False
S039,P0131,436.82,53,100,False
S036,P0131,433.24,43,10,True
S040,P0132,167.0,19,25,True
S005,P0133,68.24,4,50,True
S023,P0134,14.07,23,25,True
S025,P0134,13.35,22,500,False
S010,P0134,11.97,19,10,False
S039,P0134,10.27,30,100,False
S042,P0135,137.17,29,25,True
S028,P0135,145.26,16,50,False
S026,P0135,150.79,16,100,False
S027,P0136,66.69,19,50,True
S011,P0136,50.74,40,500,False
S010,P0136,53.68,27,100,False
S003,P0137,53.18,36,25,True
S028,P0137,60.46,40,10,False
S016,P0138,107.65,24,100,True
S034,P0139,151.31,12,10,True
S024,P0139,152.8,11,50,False
S002,P0140,10.63,20,100,True
S036,P0140,13.42,19,100,False
S030,P0141,52.27,20,25,True
S006,P0141,43.88,18,500,False
S027,P0142,23.2,19,100,False
S012,P0142,33.66,23,25,False
S006,P0142,28.11,43,250,False
S002,P0142,28.46,24,50,True
S024,P0143,73.44,49,10,False
S021,P0143,63.37,39,10,True
S001,P0144,5.6,63,10,True
S043,P0145,144.18,30,250,False
S021,P0145,151.14,23,250,True
S016,P0146,188.3,48,50,True
S026,P0147,44.1,8,10,False
S006,P0147,49.47,11,10,False
S007,P0147,48.57,7,10,False
S015,P0147,44.68,10,100,True
S039,P0148,18.44,26,250,False
S021,P0148,25.02,12,100,True
S019,P0148,20.29,22,250,False
S013,P0149,204.35,49,100,False
S017,P0149,218.68,27,50,True
S003,P0150,43.82,62,250,True
S015,P0150,46.71,51,100,False
S018,P0151,10.72,17,500,False
S036,P0151,11.91,18,25,True
S023,P0152,36.52,38,50,True
S020,P0153,132.91,35,100,False
S013,P0153,155.19,34,10,True
S038,P0154,40.29,26,50,False
S016,P0154,48.59,27,10,False
S040,P0154,47.08,22,100,True
S001,P0154,42.62,18,25,False
S034,P0155,16.21,29,50,True
S027,P0155,15.97,35,100,False
S044,P0155,11.66,27,250,False
S045,P0156,61.03,9,100,True
S014,P0156,61.79,9,25,False
S026,P0156,56.99,9,100,False
S035,P0157,183.14,20,250,False
S034,P0157,168.81,42,50,True
S025,P0157,157.38,18,500,False
S030,P0158,64.84,23,25,True
S020,P0159,179.44,29,25,False
S013,P0159,170.3,31,10,True
S013,P0160,159.39,50,25,True
S010,P0161,219.17,18,100,False
S044,P0161,187.09,15,100,True
S036,P0161,265.7,17,25,False
S013,P0161,201.6,12,50,False
S006,P0162,101.46,23,100,False
S044,P0162,103.44,31,500,True
S018,P0162,87.99,22,250,False
S033,P0163,39.2,13,100,True
S045,P0163,34.11,11,50,False
S030,P0163,35.42,10,25,False
S033,P0164,210.86,27,10,True
S020,P0164,237.32,32,25,False
S001,P0165,22.27,8,100,True
S029,P0166,51.07,18,50,True
S042,P0166,49.12,12,50,False
S042,P0167,30.99,17,250,True
S023,P0168,290.83,21,25,True
S019,P0169,45.0,22,25,True
S010,P0170,41.52,23,25,True
S002,P0171,55.47,32,25,True
S027,P0172,122.2,8,50,False
S017,P0172,123.42,9,50,True
S008,P0173,55.17,25,100,True
S018,P0174,26.62,37,100,True
S045,P0175,138.15,27,25,False
S008,P0175,112.0,27,50,False
S003,P0175,139.46,28,25,True
S011,P0176,53.21,14,25,False
S017,P0176,57.8,17,100,False
S014,P0176,56.32,19,500,True
S039,P0177,122.2,10,250,True
