WarehouseID,ProductID,InitialStock,SafetyStock,ReorderPoint,StorageCostPerUnit
W001,P0079,3197,602,1301,0.203
W001,P0147,216,25,95,0.843
W001,P0220,639,57,312,1.053
W001,P0157,3395,498,1424,0.092
W001,P0194,221,19,54,0.155
W001,P0001,324,56,138,0.761
W001,P0252,188,26,68,0.118
W001,P0043,852,153,299,0.641
W001,P0145,513,99,240,0.839
W001,P0070,477,91,268,1.388
W001,P0076,474,55,177,0.783
W001,P0164,176,33,87,0.701
W001,P0291,156,17,74,1.09
W001,P0120,1091,183,529,0.704
W001,P0208,840,155,373,0.572
W001,P0037,71,12,28,0.896
W001,P0175,186,24,57,0.901
W001,P0103,279,31,120,0.264
W001,P0136,148,25,52,1.088
W001,P0146,1059,209,422,0.63
W001,P0038,337,32,118,1.018
W001,P0149,162,18,47,1.098
W001,P0078,897,164,440,0.457
W001,P0092,280,30,78,0.39
W001,P0306,334,30,154,1.206
W001,P0243,474,83,215,0.835
W001,P0245,185,21,73,0.131
W001,P0018,1708,262,657,0.599
W001,P0197,70,13,29,0.826
W001,P0055,132,19,51,0.829
W001,P0012,581,90,318,0.687
W001,P0036,1894,189,861,0.919
W001,P0111,730,74,346,0.549
W001,P0154,122,23,64,0.668
W001,P0302,26,4,8,0.21
W001,P0100,19,2,6,0.794
W001,P0151,60,11,25,0.258
W001,P0158,1168,160,415,0.753
W001,P0091,153,22,64,0.725
W001,P0168,1967,364,947,0.437
W001,P0066,1106,133,357,0.341
W001,P0022,604,77,189,0.656
W001,P0300,1456,183,703,0.523
W001,P0219,1077,147,545,1.364
W001,P0021,23,2,5,0.522
W001,P0299,83,6,28,1.097
W001,P0187,1950,221,890,0.485
W001,P0181,488,64,255,0.276
W001,P0110,299,57,117,0.064
W001,P0025,145,18,61,1.61
W001,P0053,795,120,343,0.489
W001,P0279,193,26,58,0.127
W001,P0295,87,15,46,0.399
W001,P0082,232,26,107,0.789
W001,P0233,803,107,340,0.337
W001,P0128,34,3,15,0.949
W001,P0131,524,93,240,0.226
W001,P0150,1395,186,460,0.743
W001,P0141,3519,510,1536,0.314
W001,P0118,3163,346,1364,0.219
W001,P0099,3215,422,999,0.38
W001,P0101,1071,198,577,0.943
W001,P0170,397,49,198,0.858
W001,P0009,1722,271,684,0.108
W001,P0189,221,20,84,0.578
W001,P0027,239,20,58,0.531
W001,P0122,1735,258,597,0.568
W001,P0077,889,105,319,0.826
W001,P0185,54,8,17,0.449
W001,P0088,1019,164,364,0.509
W001,P0035,1167,221,617,0.878
W001,P0308,173,26,56,0.183
W001,P0080,556,67,163,0.194
W001,P0052,2708,503,1256,0.382
W001,P0284,689,125,391,0.126
W001,P0063,551,51,192,0.565
W001,P0056,990,98,372,0.512
W001,P0301,986,194,409,0.356
W001,P0051,1427,173,510,0.362
W001,P0106,448,77,185,0.237
W001,P0191,43,4,19,0.264
W001,P0095,891,123,279,0.734
W001,P0316,655,103,273,1.003
W001,P0060,1135,192,531,0.418
W001,P0285,982,104,299,0.343
W001,P0172,379,48,115,0.667
W001,P0271,1017,109,350,1.003
W001,P0065,141,19,54,0.516
W001,P0005,1119,114,446,0.71
W001,P0083,876,87,378,0.952
W001,P0188,651,82,340,0.786
W001,P0238,967,95,289,1.121
W001,P0253,477,61,149,0.676
W001,P0105,1667,137,609,1.039
W001,P0123,538,79,245,0.325
W001,P0231,13,2,6,0.753
W001,P0040,221,37,87,0.308
W001,P0273,737,59,212,0.18
W001,P0008,177,34,70,0.793
W001,P0190,77,7,25,0.078
W001,P0207,963,149,428,0.894
W001,P0113,90,15,45,0.672
W001,P0129,654,96,302,0.128
W001,P0240,1204,220,614,0.982
W001,P0125,3448,304,917,0.585
W001,P0288,733,87,327,0.694
W001,P0223,315,32,141,0.989
W001,P0314,904,104,241,0.624
W002,P0121,4853,958,1887,0.815
W002,P0260,671,54,313,0.318
W002,P0101,485,88,183,0.841
W002,P0219,1825,221,530,1.538
W002,P0093,283,47,118,0.745
W002,P0220,5094,884,1655,0.454
W002,P0241,53,6,26,0.859
W002,P0060,1498,203,796,0.459
W002,P0044,224,39,102,0.172
W002,P0038,1303,117,476,0.081
W002,P0075,250,23,60,0.712
W002,P0048,2482,249,667,0.931
W002,P0109,1647,281,612,0.11
W002,P0200,374,59,154,0.116
W002,P0051,7170,1149,3336,0.467
W002,P0132,5656,836,2822,0.464
W002,P0047,396,32,170,0.27
W002,P0243,2225,316,1167,0.863
W002,P0152,8398,1182,3891,0.432
W002,P0253,1686,193,780,1.309
W002,P0222,4564,390,1233,1.152
W002,P0123,2695,497,1466,1.12
W002,P0039,1609,273,595,0.57
W002,P0182,499,48,142,0.221
W002,P0246,2789,261,1200,0.508
W002,P0161,7176,1031,3184,0.719
W002,P0103,1689,300,974,0.811
W002,P0042,2591,318,1152,0.765
W002,P0284,299,52,107,0.775
W002,P0216,436,74,217,0.411
W002,P0155,484,55,139,0.868
W002,P0094,290,35,81,0.129
W002,P0204,1207,124,540,0.666
W002,P0100,81,11,28,0.388
W002,P0073,2150,231,660,0.499
W002,P0172,1404,278,567,0.219
W002,P0001,1483,155,659,0.434
W002,P0028,7274,660,2261,0.56
W002,P0305,2503,473,1334,0.699
W002,P0112,2540,363,776,0.701
W002,P0312,336,41,143,0.105
W002,P0120,1126,121,506,0.085
W002,P0160,284,38,95,0.905
W002,P0315,329,42,141,0.163
W002,P0091,198,31,87,0.471
W002,P0061,558,47,179,0.836
W002,P0250,1151,210,636,0.751
W002,P0309,7716,1159,3257,0.617
W002,P0159,438,73,203,0.956
W002,P0067,144,24,54,0.767
W002,P0049,754,133,261,0.544
W002,P0195,8335,1565,3165,0.457
W002,P0311,1527,135,607,0.701
W002,P0007,2137,425,1025,0.465
W002,P0304,302,53,168,0.685
W002,P0221,7858,1461,2717,0.219
W002,P0231,317,26,123,0.335
W002,P0115,2398,469,993,0.571
W002,P0183,54,9,19,0.201
W002,P0212,2337,189,1113,0.456
W002,P0078,416,33,148,0.802
W002,P0252,552,46,182,0.977
W002,P0247,396,31,159,0.548
W002,P0022,2383,321,710,0.479
W002,P0268,1668,201,550,0.273
W002,P0111,1198,153,443,0.165
W002,P0288,2359,459,1007,0.481
W002,P0245,216,37,119,0.379
W002,P0308,2372,256,819,0.357
W002,P0106,478,56,195,0.081
W002,P0196,915,84,283,0.115
W002,P0297,220,18,61,0.897
W002,P0313,1051,169,521,0.836
W002,P0008,38,4,15,0.905
W002,P0295,436,36,194,0.88
W002,P0072,8102,1371,3084,0.441
W002,P0254,2379,474,1305,1.148
W002,P0054,4020,451,1848,0.093
W002,P0286,1148,206,548,0.898
W002,P0043,556,106,265,0.987
W002,P0278,648,72,304,0.323
W002,P0223,298,45,153,0.075
W002,P0233,1001,115,412,0.887
W002,P0023,985,141,385,0.719
W002,P0154,70,13,26,0.829
W002,P0202,1711,319,830,0.068
W002,P0262,7231,789,2086,0.935
W002,P0314,474,58,169,0.329
W002,P0236,103,14,45,1.482
W002,P0149,554,51,176,0.389
W002,P0162,5291,787,2196,0.841
W002,P0217,1163,113,510,0.527
W002,P0105,4861,563,2186,0.904
